,0
0,0.5883390384886538
1,0.7982553978592568
2,0.6358426534376704
3,1.4633655265528802
4,3.3944888572193603
5,24.50832776945235
6,88.57359030967852
7,83.2039969517455
8,90.71330492938367
9,65.80420066907996
10,99.25192095929461
11,80.3233924354628
12,70.19750135098788
13,59.8689622661514
14,62.37100703173498
15,76.11793211025011
16,47.55388684107811
17,27.7931189369625
18,4.947195706573941
19,5.0782545054767505
20,4.413147626625105
21,1.3385297914210472
22,2.3580020529102295
23,1.2490607234593165
