,0
0,8.076861598179203
1,9.29318701698058
2,8.860033631302915
3,8.056467440230383
4,10.64474708289891
5,18.160793592335427
6,189.43604076463797
7,187.29208879359857
8,205.20637209915319
9,209.39353401452848
10,85.66352811685776
11,85.23702697191462
12,79.25789247374387
13,176.79667332988268
14,206.69831875215596
15,195.20871182053892
16,8.886604610095834
17,10.300075483487491
18,8.833078745835797
19,8.386739963672042
20,8.554015652206655
21,7.910740733624972
22,8.062810023169835
23,16.034414105412353
