p,d,q,P,D,Q,Time,AIC
0, 0, 0,0, 0, 0,0.019819021224975586,1032.8926431858006
0, 0, 0,0, 0, 1,0.42527270317077637,3009.872970299438
0, 0, 0,0, 0, 2,0.8452131748199463,484.1869674453041
0, 0, 0,0, 0, 3,6.663841485977173,257.78587991704126
0, 0, 0,0, 0, 4,2.6255545616149902,10.0
0, 0, 0,0, 1, 0,0.1016397476196289,668.0150623119745
0, 0, 0,0, 1, 1,0.5812356472015381,419.70580009474514
0, 0, 0,0, 1, 2,8.141270399093628,217.3865989869679
0, 0, 0,0, 1, 3,2.1766269207000732,8.0
0, 0, 0,0, 1, 4,5.416168451309204,10.0
0, 0, 0,0, 2, 0,0.23050141334533691,495.1660899818008
0, 0, 0,0, 2, 1,2.8012993335723877,233.54754245990594
0, 0, 0,0, 2, 2,1.0728464126586914,6.0
0, 0, 0,0, 2, 3,3.5385777950286865,8.0
0, 0, 0,0, 2, 4,7.067850112915039,10.0
0, 0, 0,0, 3, 0,0.5943968296051025,270.19198662694214
0, 0, 0,0, 3, 1,1.2841765880584717,4.0
0, 0, 0,0, 3, 2,2.736422538757324,6.0
0, 0, 0,0, 3, 3,5.916149616241455,8.0
0, 0, 0,0, 3, 4,9.947030544281006,10.0
0, 0, 0,0, 4, 0,0.9392416477203369,2.0
0, 0, 0,0, 4, 1,2.443448066711426,4.0
0, 0, 0,0, 4, 2,5.665949821472168,6.0
0, 0, 0,0, 4, 3,8.17451548576355,8.0
0, 0, 0,0, 4, 4,15.947175025939941,10.0
0, 0, 0,1, 0, 0,0.12578463554382324,676.5770375226784
0, 0, 0,1, 0, 1,0.6270055770874023,2927.620037760497
0, 0, 0,1, 0, 2,1.6164302825927734,434.7870023260445
0, 0, 0,1, 0, 3,12.58582854270935,224.80906947534618
0, 0, 0,1, 0, 4,3.8913307189941406,12.0
0, 0, 0,1, 1, 0,0.12635111808776855,437.3506860142003
0, 0, 0,1, 1, 1,0.8940656185150146,429.8198412799532
0, 0, 0,1, 1, 2,11.554011821746826,217.568778162523
0, 0, 0,1, 1, 3,2.6257214546203613,10.0
0, 0, 0,1, 1, 4,5.862036228179932,12.0
0, 0, 0,1, 2, 0,0.6068861484527588,242.4694972105289
0, 0, 0,1, 2, 1,7.571197032928467,235.50034899245694
0, 0, 0,1, 2, 2,1.5391883850097656,8.0
0, 0, 0,1, 2, 3,4.488746881484985,10.0
0, 0, 0,1, 2, 4,8.269112348556519,12.0
0, 0, 0,1, 3, 0,1.4785683155059814,4.0
0, 0, 0,1, 3, 1,2.310389995574951,6.0
0, 0, 0,1, 3, 2,4.5303943157196045,8.0
0, 0, 0,1, 3, 3,7.442906379699707,10.0
0, 0, 0,1, 3, 4,12.232915878295898,12.0
0, 0, 0,1, 4, 0,2.0828511714935303,4.0
0, 0, 0,1, 4, 1,2.9389076232910156,6.0
0, 0, 0,1, 4, 2,7.134771347045898,8.0
0, 0, 0,1, 4, 3,10.11227011680603,10.0
0, 0, 0,1, 4, 4,17.072742462158203,12.0
0, 0, 0,2, 0, 0,0.5078341960906982,434.45116775843576
0, 0, 0,2, 0, 1,2.706216335296631,1479.1928166583643
0, 0, 0,2, 0, 2,2.0776853561401367,428.45188366092066
0, 0, 0,2, 0, 3,14.238359928131104,221.3944455239439
0, 0, 0,2, 0, 4,3.456063747406006,14.0
0, 0, 0,2, 1, 0,0.6769163608551025,210.5433723009986
0, 0, 0,2, 1, 1,7.4860053062438965,212.53948207023873
0, 0, 0,2, 1, 2,11.287554264068604,206.99449365101106
0, 0, 0,2, 1, 3,2.9567947387695312,12.0
0, 0, 0,2, 1, 4,6.85878324508667,14.0
0, 0, 0,2, 2, 0,1.4303345680236816,6.0
0, 0, 0,2, 2, 1,1.8016808032989502,8.0
0, 0, 0,2, 2, 2,1.8179948329925537,10.0
0, 0, 0,2, 2, 3,4.9409260749816895,12.0
0, 0, 0,2, 2, 4,10.590219974517822,14.0
0, 0, 0,2, 3, 0,2.7894840240478516,6.0
0, 0, 0,2, 3, 1,3.917510509490967,8.0
0, 0, 0,2, 3, 2,4.424358367919922,10.0
0, 0, 0,2, 3, 3,9.49555253982544,12.0
0, 0, 0,2, 3, 4,14.464038848876953,14.0
0, 0, 0,2, 4, 0,4.653122663497925,6.0
0, 0, 0,2, 4, 1,5.962133407592773,8.0
0, 0, 0,2, 4, 2,7.6387341022491455,10.0
0, 0, 0,2, 4, 3,13.574570894241333,12.0
0, 0, 0,2, 4, 4,20.129615783691406,14.0
0, 0, 0,3, 0, 0,2.3392539024353027,211.78096274129481
0, 0, 0,3, 0, 1,8.116074562072754,950.5786388213019
0, 0, 0,3, 0, 2,5.50195574760437,215.78096277634234
0, 0, 0,3, 0, 3,7.506808042526245,210.2686521631975
0, 0, 0,3, 0, 4,4.697965621948242,16.0
0, 0, 0,3, 1, 0,1.8392360210418701,8.0
0, 0, 0,3, 1, 1,2.044102907180786,10.0
0, 0, 0,3, 1, 2,2.013340473175049,12.0
0, 0, 0,3, 1, 3,3.066746234893799,14.0
0, 0, 0,3, 1, 4,7.296657085418701,16.0
0, 0, 0,3, 2, 0,4.114915132522583,8.0
0, 0, 0,3, 2, 1,3.4199934005737305,10.0
0, 0, 0,3, 2, 2,5.065113067626953,12.0
0, 0, 0,3, 2, 3,8.79141116142273,14.0
0, 0, 0,3, 2, 4,14.39267611503601,16.0
0, 0, 0,3, 3, 0,7.024730205535889,8.0
0, 0, 0,3, 3, 1,7.4853832721710205,10.0
0, 0, 0,3, 3, 2,9.189462423324585,12.0
0, 0, 0,3, 3, 3,12.635071277618408,14.0
0, 0, 0,3, 3, 4,17.874816179275513,16.0
0, 0, 0,3, 4, 0,8.686873197555542,8.0
0, 0, 0,3, 4, 1,9.52498483657837,10.0
0, 0, 0,3, 4, 2,11.55632495880127,12.0
0, 0, 0,3, 4, 3,16.526888847351074,14.0
0, 0, 0,3, 4, 4,25.80711817741394,16.0
0, 0, 0,4, 0, 0,2.9909703731536865,10.0
0, 0, 0,4, 0, 1,3.527388095855713,12.0
0, 0, 0,4, 0, 2,3.7976887226104736,14.0
0, 0, 0,4, 0, 3,4.447509288787842,16.0
0, 0, 0,4, 0, 4,4.472939729690552,18.0
0, 0, 0,4, 1, 0,4.765588283538818,10.0
