,0
0,5.053951691521273
1,1.8748106976122365
2,8.487383252497978
3,4.416503858879817
4,5.5261537462730885
5,5.246324040283281
6,125.40534481191317
7,117.14618845484563
8,103.16978226444553
9,92.52786312894024
10,94.42571350750354
11,99.73683293094065
12,128.52883177615016
13,114.75625198068786
14,100.13720015151033
15,113.45548036250146
16,100.31649514533183
17,15.588008286796548
18,12.605247194764718
19,4.750421907226973
20,3.244597560296703
21,4.514127663413216
22,5.8892070418494455
23,4.868039227147841
