,0
0,6.6517186645252036
1,7.066528919041242
2,6.619399529049556
3,6.355926481220568
4,6.691153878350136
5,6.709114819547743
6,20.563989058472615
7,28.27066157224614
8,42.390537319520305
9,39.933639589360766
10,33.0477980423741
11,22.9199633932555
12,25.854372286906578
13,35.84187407872456
14,35.62544273755736
15,37.27670248370225
16,32.23307843347352
17,23.748074824810754
18,8.981158985567117
19,6.840198424373841
20,5.935809939901838
21,6.510430289320219
22,7.430908453267722
23,6.378526023845422
