0,1
1,5
2,6
3,5
4,5
5,4
6,5
7,5
8,10
9,23
10,32
11,34
12,23
13,15
14,23
15,34
16,42
17,38
18,32
19,26
20,10
21,5
22,4
23,3
24,5
25,4
26,5
27,6
28,5
29,5
30,5
31,5
32,13
33,28
34,46
35,41
36,26
37,17
38,23
39,33
40,28
41,31
42,26
43,21
44,8
45,5
46,4
47,5
48,5
49,4
50,5
51,5
52,6
53,5
54,5
55,5
56,17
57,34
58,36
59,38
60,24
61,17
62,43
63,34
64,43
65,45
66,33
67,21
68,7
69,5
70,4
71,5
72,6
73,5
74,4
75,5
76,6
77,5
78,5
79,5
80,12
81,41
82,36
83,42
84,23
85,12
86,14
87,26
88,43
89,35
90,32
91,27
92,15
93,5
94,4
95,5
96,5
