,0
0,3.198804327338265
1,3.6335590260565276
2,4.544833505120956
3,3.395126905367703
4,3.282382811640547
5,3.2693937748214426
6,15.55630565677394
7,34.16276365930701
8,36.59337374247729
9,38.41602592641167
10,26.869660999330343
11,26.83159745118384
12,31.32900932641656
13,29.628521825050708
14,38.362018240695235
15,38.056054320066565
16,29.101400493282323
17,20.59479195808639
18,7.723200335035512
19,3.13333201980225
20,2.0300053916093304
21,3.015153713889804
22,3.305890420957822
23,1.344845117387274
