0,1
1,5
2,6
3,5
4,5
5,4
6,5
7,5
8,10
9,21
10,32
11,34
12,11
13,15
14,11
15,28
16,34
17,22
18,26
19,21
20,7
21,5
22,4
23,3
24,5
1,4
2,5
3,6
4,5
5,4
6,5
7,6
8,32
9,46
10,56
11,68
12,35
13,36
14,46
15,54
16,62
17,43
18,36
19,26
20,12
21,6
22,4
23,3
24,5
1,4
2,5
3,5
4,6
5,5
6,5
7,5
8,54
9,79
10,86
11,87
12,54
13,61
14,91
15,106
16,97
17,84
18,67
19,34
20,3
21,5
22,6
23,5
24,4
1,3
2,4
3,5
4,7
5,6
6,5
7,7
8,105
9,106
10,97
11,95
12,84
13,89
14,116
15,108
16,98
17,102
18,87
19,21
20,13
21,6
22,4
23,5
24,6
